"variable","H","p_value","n"
"slope",0.115154582259855,0.944048920958706,31
"elevation",1.3399926686217,0.511710453554561,31
"AridityWs",0.210777126099714,0.899974757701164,31
"Pct_shrub",3.49202712609971,0.174468064936128,31
"precipitation",0.347553152492679,0.840484660920101,31
"PctFst",1.29110153958945,0.52437365338887,31
"PctAg",0.305185633575471,0.858479208975885,31
"NPP_mean_kgC_m2_yr",1.97072030791787,0.373304755537314,31
"PET_mean_mm_yr",1.26237170087977,0.531960601113698,31
"ET_mean_mm_yr",5.16930901759532,0.0754221327836342,31
