Samples,Total_Peaks
EC_C36.corems,2490
EC_C37.corems,2004
EC_C38.corems,2151
EC_C39.corems,2473
EC_C4.corems,3196
EC_C40.corems,1998
EC_C41.corems,2969
EC_C42.corems,2077
EC_C43.corems,2091
EC_C44.corems,1449
EC_C45.corems,2309
EC_C46.corems,3376
EC_C47.corems,1795
EC_C48.corems,4368
EC_C49.corems,3050
EC_C5.corems,2507
EC_C50.corems,2235
EC_C51.corems,2521
EC_C52.corems,3594
EC_C53.corems,1647
EC_C54.corems,2120
EC_C55.corems,1171
EC_C56.corems,3014
EC_C57.corems,1729
EC_C58.corems,1248
EC_C59.corems,1166
EC_C6.corems,2624
EC_C60.corems,1925
EC_C61.corems,1520
EC_C62.corems,3876
EC_C63.corems,3447
EC_C64.corems,1771
EC_C65.corems,794
EC_C66.corems,2616
EC_C67.corems,1303
EC_C68.corems,1055
EC_C69.corems,3299
EC_C7.corems,1804
EC_C70.corems,4091
EC_C71.corems,769
EC_C8.corems,2649
EC_C9.corems,3519
EC_D1.corems,1851
EC_D10.corems,2794
EC_D11.corems,1480
EC_D12.corems,3410
EC_D13.corems,3568
EC_D14.corems,1194
EC_D15.corems,2721
EC_D16.corems,2137
EC_D17.corems,1007
EC_D18.corems,2843
EC_D19.corems,2292
EC_D2.corems,2391
EC_D20.corems,1787
EC_D21.corems,1086
EC_D22.corems,1580
EC_D23.corems,932
EC_D24.corems,1531
EC_D25.corems,1333
EC_D26.corems,1458
EC_D27.corems,1174
EC_D28.corems,1098
EC_D29.corems,1927
EC_D3.corems,2519
EC_D30.corems,1681
EC_D31.corems,1354
EC_D32.corems,837
EC_D33.corems,1420
EC_D34.corems,0
EC_D35.corems,1566
EC_D36.corems,843
EC_D37.corems,1198
EC_D38.corems,1172
EC_D39.corems,883
EC_D4.corems,4366
EC_D40.corems,1078
EC_D41.corems,949
EC_D42.corems,1981
EC_D43.corems,2243
EC_D44.corems,2684
EC_D45.corems,3254
EC_D46.corems,2648
EC_D47.corems,3892
EC_D48.corems,1110
EC_D49.corems,1692
EC_D5.corems,3551
EC_D50.corems,2917
EC_D51.corems,4879
EC_D52.corems,2442
EC_D53.corems,2544
EC_D54.corems,2483
EC_D55.corems,3831
EC_D56.corems,2658
EC_D57.corems,3681
EC_D58.corems,3723
EC_D59.corems,2142
EC_D6.corems,2307
EC_D60.corems,1535
EC_D61.corems,1863
EC_D62.corems,4701
EC_D63.corems,2321
EC_D64.corems,2254
EC_D65.corems,2398
EC_D66.corems,2916
EC_D67.corems,2698
EC_D68.corems,3062
EC_D69.corems,3382
EC_D7.corems,3718
EC_D70.corems,3320
EC_D71.corems,3608
EC_D8.corems,3206
EC_D9.corems,2482
EC_E1.corems,2920
EC_E11.corems,1225
EC_E12.corems,2706
EC_E13.corems,2982
EC_E14.corems,1195
EC_E15.corems,1009
EC_E16.corems,2525
EC_E17.corems,2369
EC_E18.corems,1916
EC_E19.corems,3348
EC_E2.corems,3156
EC_E20.corems,3796
EC_E21.corems,1254
EC_E22.corems,3589
EC_E23.corems,2450
EC_E24.corems,2413
EC_E25.corems,3018
EC_E26.corems,1393
EC_E27.corems,2992
EC_E28.corems,1051
EC_E29.corems,1664
EC_E3.corems,1734
EC_E30.corems,2710
EC_E31.corems,1563
EC_E32.corems,736
EC_E33.corems,1363
EC_E34.corems,1035
EC_E35.corems,2081
EC_E36.corems,878
EC_E37.corems,853
EC_E38.corems,1384
EC_E39.corems,1831
EC_E4.corems,2254
EC_E40.corems,2754
EC_E41.corems,2544
EC_E42.corems,2349
EC_E43.corems,1251
EC_E44.corems,715
EC_E45.corems,2304
EC_E46.corems,2861
EC_E47.corems,945
EC_E48.corems,3354
EC_E49.corems,1423
EC_E5.corems,4586
EC_E50.corems,3581
EC_E51.corems,3683
EC_E52.corems,2642
EC_E53.corems,2264
EC_E54.corems,2958
EC_E55.corems,3430
EC_E56.corems,2837
EC_E57.corems,3124
EC_E58.corems,947
EC_E59.corems,694
EC_E6.corems,5068
EC_E60.corems,1740
EC_E61.corems,1199
EC_E62.corems,1441
EC_E63.corems,1166
EC_E64.corems,3153
EC_E65.corems,1749
EC_E66.corems,2465
EC_E67.corems,1817
EC_E68.corems,2031
EC_E69.corems,811
EC_E7.corems,2914
EC_E8.corems,4557
EC_E9.corems,4254
EC_F1.corems,0
EC_F10.corems,2400
EC_F11.corems,4020
EC_F12.corems,3247
EC_F13.corems,2816
EC_F14.corems,2644
EC_F15.corems,3624
EC_F16.corems,713
EC_F17.corems,2958
EC_F18.corems,5206
EC_F19.corems,2624
EC_F2.corems,1562
EC_F20.corems,2346
EC_F21.corems,2433
EC_F22.corems,734
EC_F23.corems,2664
EC_F24.corems,1983
EC_F25.corems,3325
EC_F26.corems,937
EC_F27.corems,2191
EC_F28.corems,1960
EC_F29.corems,2799
EC_F3.corems,1288
EC_F30.corems,2215
EC_F32.corems,2370
EC_F33.corems,2405
EC_F34.corems,1488
EC_F35.corems,1671
EC_F36.corems,1711
EC_F37.corems,1767
EC_F38.corems,1622
EC_F39.corems,1721
EC_F4.corems,993
EC_F40.corems,1900
EC_F41.corems,2358
