Sample_Name,Date,Wet_Sediment_Mass_g,Wet_Sediment_Mass_Added_Water_g,Dry_Sediment_Mass_g,Added_Water_Mass_g,Total_Water_Mass_g,Moisture
EC_005_INC-W1,11/10/2022,20.04,24.08,15.72,4.04,8.36,53.18066158
EC_005_INC-W1,11/11/2022,23.96,24.08,15.72,0.12,8.36,53.18066158
EC_005_INC-W1,11/15/2022,23.65,24.08,15.72,0.43,8.36,53.18066158
EC_005_INC-W1,11/18/2022,23.74,24.08,15.72,0.34,8.36,53.18066158
EC_005_INC-W1,11/23/2022,23.41,24.08,15.72,0.67,8.36,53.18066158
EC_005_INC-W1,11/29/2022,23.3,24.08,15.72,0.78,8.36,53.18066158
EC_009_INC-W1,4/20/2023,19.94,22.91,14.61,2.97,8.3,56.81040383
EC_009_INC-W1,4/21/2023,22.75,22.91,14.61,0.16,8.3,56.81040383
EC_009_INC-W1,4/25/2023,22.28,22.91,14.61,0.63,8.3,56.81040383
EC_009_INC-W1,4/28/2023,22.52,22.9,14.61,0.38,8.29,56.74195756
EC_009_INC-W1,5/2/2023,22.28,22.9,14.61,0.62,8.29,56.74195756
EC_009_INC-W1,5/5/2023,22.61,22.91,14.61,0.3,8.3,56.81040383
EC_009_INC-W1,5/9/2023,22.46,22.91,14.61,0.45,8.3,56.81040383
EC_011_INC-W1,8/25/2022,20,40.01,12.96,20.01,27.05,208.7191358
EC_011_INC-W1,8/31/2022,38.93,-9999,12.96,0,25.97,200.3858025
EC_011_INC-W1,9/2/2022,38.59,-9999,12.96,0,25.63,197.7623457
EC_011_INC-W1,9/6/2022,38.03,-9999,12.96,0,25.07,193.441358
EC_011_INC-W1,9/9/2022,37.63,-9999,12.96,0,24.67,190.3549383
EC_011_INC-W1,9/13/2022,37.09,-9999,12.96,0,24.13,186.1882716
EC_012_INC-W1,8/25/2022,20.07,40.25,11.19,20.18,29.06,259.6961573
EC_012_INC-W1,8/31/2022,37.94,-9999,11.19,0,26.75,239.0527256
EC_012_INC-W1,9/2/2022,37.65,-9999,11.19,0,26.46,236.461126
EC_012_INC-W1,9/6/2022,37.12,-9999,11.19,0,25.93,231.7247542
EC_012_INC-W1,9/9/2022,36.63,-9999,11.19,0,25.44,227.3458445
EC_012_INC-W1,9/13/2022,35.81,-9999,11.19,0,24.62,220.0178731
EC_013_INC-W1,7/14/2022,19.98,22.98,9.91,3,13.07,131.8869828
EC_013_INC-W1,7/19/2022,22.58,22.98,9.91,0.4,13.07,131.8869828
EC_013_INC-W1,7/22/2022,22.79,22.98,9.91,0.19,13.07,131.8869828
EC_013_INC-W1,7/26/2022,22.68,22.98,9.91,0.3,13.07,131.8869828
EC_013_INC-W1,7/29/2022,22.72,22.98,9.91,0.26,13.07,131.8869828
EC_013_INC-W1,8/2/2022,22.61,22.98,9.91,0.37,13.07,131.8869828
EC_014_INC-W1,6/16/2022,20.03,22.99,12.43,2.96,10.56,84.95575221
EC_014_INC-W1,6/17/2022,22.93,22.99,12.43,0.06,10.56,84.95575221
EC_014_INC-W1,6/21/2022,22.58,22.99,12.43,0.41,10.56,84.95575221
EC_014_INC-W1,6/24/2022,22.69,22.99,12.43,0.3,10.56,84.95575221
EC_014_INC-W1,6/28/2022,22.59,22.99,12.43,0.4,10.56,84.95575221
EC_014_INC-W1,7/1/2022,22.67,22.99,12.43,0.32,10.56,84.95575221
EC_017_INC-W1,11/17/2022,19.93,24.39,15.89,4.46,8.5,53.49276274
EC_017_INC-W1,11/18/2022,24.25,24.39,15.89,0.14,8.5,53.49276274
EC_017_INC-W1,11/23/2022,23.67,24.39,15.89,0.72,8.5,53.49276274
