"site","Parent_ID","slope","elevation","AridityWs","Pct_shrub","precipitation","PctFst","PctAg","NPP_kgCm2","ET_kgm2year"
"HOPB","EC_044",0.03431775,296.7564,1.129682685,0.63,270.4440002,88.12,3.22,354848.2552,325136.6645
"HOPB","EC_044",0.03431775,296.7564,1.129682685,0.63,270.4440002,88.12,3.22,354848.2552,325136.6645
"MART","EC_052",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MART","EC_052",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MART","EC_053",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MART","EC_053",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MART","EC_051",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MART","EC_051",0.03660246,582.7035,1.901206731,0.42,918.5979614,91.66,0.37,236769.1956,168777.2929
"MAYF","EC_056",0.00313886,119.2079,0.975050093,1.64,1011.636963,93.27,0,153638.2366,401666.6629
"MAYF","EC_056",0.00313886,119.2079,0.975050093,1.64,1011.636963,93.27,0,153638.2366,401666.6629
"MAYF","EC_057",0.00313886,119.2079,0.975050093,1.64,1011.636963,93.27,0,153638.2366,401666.6629
"MAYF","EC_057",0.00313886,119.2079,0.975050093,1.64,1011.636963,93.27,0,153638.2366,401666.6629
"MP-100019","EC_094",0.00372399,67.5046,0.993358274,1.23,1168.152954,51.52,5.76,2228441.384,2362072.24
"MP-100021","EC_063",0.00036902,114.1168,0.995081266,2.15,447.3479919,71.7,3.07,3460051.775,3388106.412
"MP-100068","EC_070",0.00033639,446.2136,1.238984184,0.69,1157.957031,83.72,8.17,57078693.31,39313664.05
"MP-100167","EC_012",0.00707335,432.512,1.13620613,0.75,1028.126953,86.96,6.17,4832842.773,3333042.285
"MP-100201","EC_011",0.00546789,386.1143,1.086244361,0.66,1278.272949,78.11,9.42,8786411.86,6803574.432
"MP-100379","EC_078",0.00042164,169.4334,0.971363775,0.99,1002.931946,40.27,27.47,161074646.7,250677523.9
"MP-100656","EC_014",0.00014288,39.7459,0.861012838,1.56,1031.51001,18.72,43.61,44238828.33,67132314.06
"MP-100747","EC_081",0.00011545,135.6208,0.77798719,4.54,554.3029785,44.04,16.63,629900908.4,1137534462
"MP-100747","EC_081",0.00011545,135.6208,0.77798719,4.54,554.3029785,44.04,16.63,629900908.4,1137534462
"MP-100747","EC_081",0.00011545,135.6208,0.77798719,4.54,554.3029785,44.04,16.63,629900908.4,1137534462
"MP-100747","EC_081",0.00011545,135.6208,0.77798719,4.54,554.3029785,44.04,16.63,629900908.4,1137534462
"MP-100747","EC_081",0.00011545,135.6208,0.77798719,4.54,554.3029785,44.04,16.63,629900908.4,1137534462
"MP-100749","EC_082",0.0001256,131.4951,0.778881895,4.67,990.7489624,43.5,16.11,655911395.8,1189151052
"MP-100819","EC_075",1e-05,58.9927,0.800371209,4.81,905.0700073,26.27,22.71,385878208,560595879.2
"MP-100981","EC_091",1e-05,165.4873,0.868669112,4.58,906.0379639,45.45,21.6,872436157.9,1549247772
"MP-100984","EC_092",1e-05,153.9906,0.874066795,4.89,1146.817993,43.62,21.35,956865776.5,1692327064
"MP-101022","EC_064",0.00115165,237.8643,0.973892327,1.32,1173.064941,24.51,1.01,1897063.684,3087049.209
"MP-101142","EC_042",1e-05,758.9331,0.903316734,1.26,1171.695923,58.55,31.42,17729294.3,20019970.45
"MP-101143","EC_041",0.00084643,817.7277,0.931627144,1.49,1248.900024,62.25,25.75,245513462.3,235916969.2
"MP-101276","EC_095",0.02439849,524.5421,1.123054071,0.28,1238.046021,77.36,11.84,3351958.458,3372295.084
"MP-101336","EC_093",0.00736236,449.5031,0.923226655,0.57,1033.872925,61.35,1.17,15295683.24,13132399.58
"MP-101583","EC_032",0.00049309,358.2991,0.508953594,0.12,1376.317993,7.37,70.25,304433643.6,502095006.9
"MP-101915","EC_017",0.00336755,2441.9318,0.544648608,43.93,1263.838013,38.39,0.92,160871393.6,209429070.9
"MP-102055","EC_076",0.00020116,1115.7654,0.318237987,19.1,1311.542847,7.83,27.31,13364626287,15336815038
"MP-102277","EC_068",1e-05,11.0393,0.996861492,0.16,615.7879639,1.78,75.84,15566626.8,22999196.27
"MP-102281","EC_080",1e-05,15.6109,1.014119214,1.82,615.1599731,13.13,56.41,64235645.08,102131660.5
