"site","Treatment","Median_Weighted_Avg_AI_mod","Median_Weighted_Avg_NOSC","Median_Weighted_Avg_DBE","Median_Weighted_Avg_delGcoxPerCmol","Median_Weighted_Avg_delGcoxPerCompmol","Median_Weighted_Avg_Lambda"
"EC_074","Wet",0.280752220804789,-0.269479962170126,11.2701938780086,-142.962493818836,-142.962493818836,0.0400384165123875
"EC_076","Dry",0.239983802528113,-0.325787045958603,10.4386777789182,-143.751683301054,-143.751683301054,0.0412210600489896
"EC_076","Wet",0.301163198751197,-0.32071348960301,12.0563617093964,-143.396814994284,-143.396814994284,0.0431337677206723
"EC_078","Dry",0.340645986484147,-0.265435567475296,11.5037314957353,-142.102641773223,-142.102641773223,0.0414667204014875
"EC_078","Wet",0.315225880136421,-0.329343821854289,11.6685872845771,-143.080082702372,-143.080082702372,0.0427099909899139
"EC_080","Dry",0.302271688537341,-0.260730201714564,11.6561135475268,-142.905351511415,-142.905351511415,0.0425889552914532
"EC_080","Wet",0.258420291258568,-0.243320661999364,11.3526464753516,-142.355578344767,-142.355578344767,0.0427511989159296
"EC_081","Dry",0.269918188552682,-0.260371027072364,10.6016680445134,-142.793227925114,-142.793227925114,0.0425828576777872
"EC_081","Wet",0.264801601482987,-0.363891036001757,11.3727840775897,-143.32797264847,-143.32797264847,0.0386593485283803
"EC_084","Dry",0.260196946342448,-0.392692107202383,11.1910404986669,-144.317667448149,-144.317667448149,0.037103789101611
"EC_084","Wet",0.278111679083807,-0.23375876550999,11.4369151137061,-142.455583735254,-142.455583735254,0.0425274805664894
"EC_085","Dry",0.261131724872385,-0.437871636462671,11.4125786122379,-144.818829961313,-144.818829961313,0.0374886493065346
"EC_085","Wet",0.257013431163441,-0.365101110542899,10.6386949269041,-143.902914160262,-143.902914160262,0.036660272164944
"EC_089","Dry",0.263161650973263,-0.415522495722391,11.7194053619383,-144.375626893934,-144.375626893934,0.0379058798311424
"EC_089","Wet",0.290093356783147,-0.385575898703597,12.0942678985397,-144.468337463258,-144.468337463258,0.0374924655654231
"EC_090","Dry",0.270538427019971,-0.344251016389919,11.480514321572,-143.652776409392,-143.652776409392,0.039622437126608
"EC_090","Wet",0.267740810875784,-0.324090129318263,11.3576935050259,-143.079718224641,-143.079718224641,0.0388691813593569
"EC_091","Dry",0.262670076512924,-0.357330246921982,11.5224274589446,-144.281867458771,-144.281867458771,0.0403406484774919
"EC_091","Wet",0.268238597840158,-0.304307115024169,12.6015755682779,-142.853990715484,-142.853990715484,0.0391820375171522
"EC_092","Dry",0.267105357109339,-0.306694406008829,12.3455666168376,-143.324615500472,-143.324615500472,0.0371297664950428
"EC_092","Wet",0.288801792392415,-0.228401756167712,11.4917364660395,-141.952798510948,-141.952798510948,0.0411815423811202
"EC_093","Dry",0.288580272557969,-0.370463258782831,12.3129166936668,-144.147736437267,-144.147736437267,0.0415390682567636
"EC_093","Wet",0.30188431082192,-0.309676699180002,11.9356092528337,-143.335002350991,-143.335002350991,0.0375246573952007
"EC_094","Dry",0.282743059426885,-0.326647593613443,12.9394155263817,-143.108759615642,-143.108759615642,0.0368885458537969
"EC_094","Wet",0.357235056881966,-0.195160606583729,12.6093717592514,-142.082904459039,-142.082904459039,0.0388712029802902
"EC_095","Dry",0.260499012973465,-0.344646654059351,10.4437201080082,-143.884287993616,-143.884287993616,0.0399632392480116
"EC_095","Wet",0.283559093939396,-0.428326221491299,11.4986474711694,-144.273851042396,-144.273851042396,0.0376416239365147
