"Sample_Name","Effect_Size_SpC_microsiemens_per_cm","Effect_Size_pH","Effect_Size_Temperature_degC","Effect_Size_Respiration_Rate_mg_DO_per_L_per_H","Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H","Effect_Size_Fe_mg_per_L","Effect_Size_Fe_mg_per_kg","Effect_Size_ATP_nanomoles_per_L","Effect_Size_ATP_picomoles_per_g","Effect_Size_Extractable_NPOC_mg_per_L","Effect_Size_Extractable_NPOC_mg_per_kg","Effect_Size_Extractable_TN_mg_per_L","Effect_Size_Extractable_TN_mg_per_kg","Effect_Size_C_percent_per_mg","Effect_Size_N_percent_per_mg","Percent_Tot_Sand","Percent_Coarse_Sand","Percent_Med_Sand","Percent_Fine_Sand","Percent_Silt","Percent_Clay","Mean_Specific_Surface_Area_m2_per_g","Median_SpC_microsiemens_per_cm","Median_pH","Median_Temperature_degC","Median_ATP_nanomoles_per_L","Median_ATP_picomoles_per_g","Median_Fe_mg_per_L","Median_Fe_mg_per_kg","Median_X01395_C_percent_per_mg","Median_X01397_N_percent_per_mg","Median_Extractable_NPOC_mg_per_L","Median_Extractable_NPOC_mg_per_kg","Median_Extractable_TN_mg_per_L","Median_Extractable_TN_mg_per_kg","median_Dry_Initial_Gravimetric","median_Dry_Final_Gravimetric"
"EC_082_all",11,-0.02,-0.1,180.38,760.568,0.014,0.039,-9.21,-34.52,-1.14,-3.43,-0.02,-0.12,-0.04,0.01,93.6,7,34.9,51.7,4.4,2,7.004,122.15,6.68,19.7,23.985,87.175,0.1115,0.3805,1.29,0.165,7.095,23.345,0.67,2.265,0.65,0.51
"EC_084_all",26.2,0.14,0.1,153.255,556.784,0.001,-0.004,-4.75,-14.17,1.59,5.87,0,0.01,0.07,0.16,96.7,93.6,1.2,1.9,1.9,1.4,4.297,183.85,6.79,21.25,6.295,20.02,0.1135,0.408,0.465,0.26,4.905,17.735,1,3.625,0.41,0.24
"EC_085_all",6.3,0.26,-0.2,171.944,589.35,0.699,2.383,-18.42,-63.06,0.24,0.73,-0.67,-2.3,-0.01,0.01,77,3.4,39,34.6,19.9,3.1,6.011,146.9,6.84,21.15,24.965,86.06,0.5785,1.9755,0.305,0.175,6.23,21.265,0.845,2.885,0.34,0.13
"EC_088_all",19.75,0.26,-0.1,225.077,844.047,0.339,1.269,-28.47,-134.55,1.74,6.43,-0.57,-2.14,-1.12,-0.07,68,18.5,21.5,28,28.7,3.3,27.682,96.75,5.81,20.6,45.98,269.5,0.396,1.4895,1.395,0.245,5.595,21.015,2.475,9.32,0.45,0.2
"EC_089_all",15.04,0.01,-0.1,1.476,4.926,0.046,0.154,9.59,27.06,0.89,3.31,0.03,0.12,0,0.07,90.9,46.4,20.9,23.6,5,4.1,8.932,92.105,5.865,19.6,23.255,72.8,0.167,0.548,0.22,0.205,5.61,18.39,0.43,1.42,0.29,0.19
"EC_090_all",-7.29,0.42,0,141.064,417.799,0.561,1.636,-13.53,-36.91,-0.59,-1.6,-0.56,-1.59,0.03,-0.05,76.6,31.7,23.9,21,18.5,4.9,7.345,32.355,5.44,20.5,16.595,48.82,0.283,0.8295,0.405,0.22,2.28,6.735,0.6,1.775,0.18,0.07
"EC_091_all",-7.2,0.56,0.1,117.115,391.036,0.084,0.266,-4.77,-17.52,0.08,0.1,-0.06,-0.1,0.08,0.06,88.6,1.2,15,72.4,7.7,3.7,5.444,160,6.545,20.05,14.96,54.12,0.2465,0.8225,0.335,0.215,3.615,11.955,0.835,2.805,0.33,0.18
"EC_092_all",25.9,-0.78,0,1.91,5.711,0.056,0.168,7.2,34.89,0.04,0.48,-1.04,-3.04,-0.09,0,89.5,56.4,19.1,14,7.5,3,2.854,155.8,6.44,20,20.42,51.1,0.085,0.255,0.62,0.22,4.63,13.89,1.045,3.165,0.2,0.08
"EC_093_all",13.76,-0.08,-0.3,0.519,1.618,0.002,0.004,0.61,1.15,-1.23,-2.62,-0.27,-0.81,0,0,97.7,82.3,11.2,4.2,0.5,1.8,4.041,62.855,6.56,20.4,3.07,9.165,0.0655,0.2015,0.25,0.24,13.49,41.795,0.82,2.545,0.23,0.12
"EC_094_all",5.8,-0.15,-0.2,123.581,405.583,0.048,0.18,-15.2,-64.34,0.51,1.88,-0.46,-1.46,0.03,0,91.1,48.6,18.9,23.6,4.8,4.1,5.065,240.1,6.5,20.35,38.07,122.025,0.428,1.3865,0.725,0.25,10.585,34.27,1.055,3.445,0.29,0.17
"EC_095_all",-26.8,0.48,0,273.622,1144.289,0.371,1.546,-31.03,-180.67,3.42,14.48,-1.42,-5.94,-0.12,-0.1,65.5,4.2,16.1,45.2,32.7,1.8,12.832,356.45,5.485,19.5,47.265,309.34,0.018,0.0765,3.47,0.385,5.065,21.235,1.93,8.155,0.61,0.26
